CustomerID,Age,Gender,PurchaseAmount,Frequency,Recency,Category
C113,27,Female,4100,10,13,Home Decor
C114,45,Male,1050,2,79,Grocery
C115,36,Female,2900,7,24,Beauty
C116,21,Male,1750,4,49,Sports
C117,54,Female,6200,15,5,Clothing
C118,39,Male,3700,9,18,Electronics
C119,31,Female,4650,11,12,Home Decor
C120,43,Male,1250,3,66,Grocery
C121,28,Female,3250,8,22,Beauty
C122,50,Male,4400,10,16,Sports
C123,34,Female,2400,5,37,Clothing
C124,46,Male,6000,14,6,Electronics
C125,25,Female,1950,4,43,Grocery
C126,38,Male,4900,11,9,Home Decor
C127,30,Female,3500,8,20,Beauty
C128,42,Male,2700,6,31,Sports
C129,22,Female,1400,3,56,Clothing
C130,52,Male,6600,16,4,Electronics
C131,37,Female,4300,10,14,Home Decor
C132,29,Male,1000,2,82,Grocery
C133,41,Female,5100,12,7,Beauty
C134,33,Male,3150,7,23,Sports
C135,26,Female,2800,6,34,Clothing
C136,49,Male,5700,13,8,Electronics
C137,35,Female,4000,9,17,Home Decor
C138,23,Male,1300,3,61,Grocery
C139,44,Female,4600,11,10,Beauty
C140,31,Male,2250,5,40,Sports
C141,53,Female,7000,17,2,Clothing
C142,39,Male,3500,8,22,Electronics
C143,27,Female,3900,9,15,Home Decor
C144,47,Male,1100,2,74,Grocery
C145,32,Female,5300,13,6,Beauty
C146,40,Male,2900,7,28,Sports
C147,24,Female,2100,5,36,Clothing
C148,55,Male,6300,15,5,Electronics
C149,36,Female,4450,10,12,Home Decor
C150,43,Male,1500,3,64,Grocery
